,ID,Name,Status,Latitude,Longitude,Maximum.Wind,date_time,diff,rapid_int,i,n,persistence,product,Initial.Max,speed,speed_z,speed_m,Jday,Maximum.Wind_p,Latitude_p,Longitude_p,i_p,year,month,season,distance_travelled_km,speed_p,speed_z_p,distance_travelled_km_p,Maximum.Wind_step_2,Maximum.Wind_step_3,Maximum.Wind_step_1,Maximum.Wind_step_4,Maximum.Wind_step_5,diff_step_1,diff_step_2,diff_step_3,diff_step_4,diff_step_5,rapid_int_step_1,rapid_int_step_2,rapid_int_step_3,rapid_int_step_4,rapid_int_step_5
0,AL011980,            UNNAMED, TD,30.5,-76.5,20,7/17/1980 0:00,,,1,17,,,,,,,55,,,,,1980,7,3,,,,,25,25,25,25,25,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
1,AL011980,            UNNAMED, TD,30.2,-77.2,25,7/17/1980 6:00,,,2,17,,,20.0,,,,55,20,30.5,-76.5,1,1980,7,3,74.99649388621239,,,,25,25,25,25,20,0,0,0,0,-5,0.0,0.0,0.0,0.0,0.0
2,AL011980,            UNNAMED, TD,30.0,-78.0,25,7/17/1980 12:00,,,3,17,,,25.0,,,,55,25,30.2,-77.2,2,1980,7,3,80.10888244464877,,,74.99649388621239,25,25,25,20,,0,0,0,-5,,0.0,0.0,0.0,0.0,
3,AL011980,            UNNAMED, TD,29.9,-79.3,25,7/17/1980 18:00,,,4,17,5.0,125.0,25.0,12.86951062,0.035365392,9.266243887,55,25,30.0,-78.0,3,1980,7,3,125.7418643914897,,,80.10888244464877,25,20,25,,,0,0,-5,,,0.0,0.0,0.0,,
4,AL011980,            UNNAMED, TD,29.8,-80.2,25,7/18/1980 0:00,5.0,0.0,5,17,0.0,0.0,25.0,17.07117166,0.035158197,9.266243887,54,25,29.9,-79.3,4,1980,7,3,87.50767159330823,12.86951062,0.035365392,125.7418643914897,20,,25,,20,0,-5,,,-5,0.0,0.0,,,0.0
5,AL011980,            UNNAMED, TD,29.5,-81.1,25,7/18/1980 6:00,0.0,0.0,6,17,0.0,0.0,25.0,17.76894951,0.035017921,9.266243887,54,25,29.8,-80.2,5,1980,7,3,93.14950039658162,17.07117166,0.035158197,87.50767159330823,,,20,20,25,-5,,,-5,0,0.0,,,0.0,0.0
6,AL011980,            UNNAMED, TD,29.5,-82.0,20,7/18/1980 12:00,-5.0,0.0,7,17,0.0,0.0,25.0,14.954517999999998,0.034947143,9.266243887,54,25,29.5,-81.1,6,1980,7,3,87.10100684905203,17.76894951,0.035017921,93.14950039658162,,20,,25,25,,,0,5,5,,,0.0,0.0,0.0
7,AL011980,            UNNAMED, TD,29.5,-84.7,20,7/19/1980 6:00,-5.0,0.0,10,17,0.0,0.0,25.0,16.16419344,0.034659782,9.266243887,53,,29.4,-84.0,,1980,7,3,68.68475280613073,,,,25,25,25,25,25,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0
8,AL011980,            UNNAMED, TD,29.6,-85.8,25,7/19/1980 12:00,5.0,0.0,11,17,0.0,0.0,25.0,13.74827927,0.034586883,9.266243887,53,20,29.5,-84.7,10,1980,7,3,106.98345601472643,16.16419344,0.034659782,68.68475280613073,25,25,25,25,20,0,0,0,0,-5,0.0,0.0,0.0,0.0,0.0
9,AL011980,            UNNAMED, TD,29.7,-86.4,25,7/19/1980 18:00,5.0,0.0,12,17,5.0,125.0,25.0,14.63452911,0.034586883,9.266243887,53,25,29.6,-85.8,11,1980,7,3,59.037802667660266,13.74827927,0.034586883,106.98345601472643,25,25,25,20,,0,0,0,-5,,0.0,0.0,0.0,0.0,
10,AL011980,            UNNAMED, TD,29.8,-87.0,25,7/20/1980 0:00,5.0,0.0,13,17,5.0,125.0,25.0,13.82149181,0.034659782,9.266243887,52,25,29.7,-86.4,12,1980,7,3,58.98114311888079,14.63452911,0.034586883,59.037802667660266,25,20,25,,,0,0,-5,,,0.0,0.0,0.0,,
11,AL011980,            UNNAMED, TD,29.9,-87.8,25,7/20/1980 6:00,5.0,0.0,14,17,0.0,0.0,25.0,9.834876661000001,0.034732257999999995,9.266243887,52,25,29.8,-87.0,13,1980,7,3,77.95126477677287,13.82149181,0.034659782,58.98114311888079,20,,25,,,0,-5,,,,0.0,0.0,,,
12,AL011980,            UNNAMED, TD,30.0,-88.5,25,7/20/1980 12:00,0.0,0.0,15,17,0.0,0.0,25.0,11.408744500000001,0.034804311,9.266243887,52,25,29.9,-87.8,14,1980,7,3,68.352671309855,9.834876661000001,0.034732257999999995,77.95126477677287,,,20,,,-5,,,,,0.0,,,,
13,AL011980,            UNNAMED, TD,30.4,-89.2,20,7/20/1980 18:00,-5.0,0.0,16,17,0.0,0.0,25.0,12.19090521,0.03487594,9.266243887,52,25,30.0,-88.5,15,1980,7,3,80.6459638502665,11.408744500000001,0.034804311,68.352671309855,,,,,,,,,,,,,,,
14,AL011981,            UNNAMED, TD,21.0,-61.5,25,4/6/1981 12:00,,,1,5,,,,,,,158,,,,,1981,4,2,,,,,30,25,30,,,5,5,0,,,0.0,0.0,0.0,,
15,AL011981,            UNNAMED, TD,20.2,-62.1,30,4/6/1981 18:00,,,2,5,,,25.0,246.32326459999996,0.035296757000000005,9.266243887,158,25,21.0,-61.5,1,1981,4,2,108.68853488924157,,,,25,,30,,,0,-5,,,,0.0,0.0,,,
16,AL011981,            UNNAMED, TD,19.7,-62.9,30,4/7/1981 0:00,,,3,5,,,30.0,252.25173859999998,0.035568711,9.266243887,157,30,20.2,-62.1,2,1981,4,2,100.4138070309687,246.32326459999996,0.035296757000000005,108.68853488924157,,,25,,,-5,,,,,0.0,,,,
17,AL011981,            UNNAMED, TD,18.9,-63.4,25,4/7/1981 6:00,,,4,5,5.0,150.0,30.0,17.11838396,0.02705694,9.266243887,157,30,19.7,-62.9,3,1981,4,2,103.27877662429131,252.25173859999998,0.035568711,100.4138070309687,,,,,,,,,,,,,,,
18,AL011982,            ALBERTO, TD,21.7,-87.1,20,6/2/1982 12:00,,,1,17,,,,,,,101,,,,,1982,6,3,,,,,30,40,25,50,75,5,10,20,30,55,0.0,0.0,1.0,1.0,1.0
19,AL011982,            ALBERTO, TD,22.2,-86.5,25,6/2/1982 18:00,,,2,17,,,20.0,207.39067590000002,0.024783576,9.266243887,101,20,21.7,-87.1,1,1982,6,3,83.18806611134343,,,,40,50,30,75,65,5,15,25,50,40,0.0,0.0,1.0,1.0,1.0
20,AL011982,            ALBERTO, TD,22.6,-85.8,30,6/3/1982 0:00,,,3,17,,,25.0,199.41445819999998,0.023767782,9.266243887,100,25,22.2,-86.5,2,1982,6,3,84.59891729942639,207.39067590000002,0.024783576,83.18806611134343,50,75,40,65,55,10,20,45,35,25,0.0,1.0,1.0,1.0,1.0
