s,p,o
state_2_-5_22_0_9_175,has_lat,lat_22
state_2_-5_31_0_9_0,has_long,long_-54
state_2_-5_29_0_9_250,transit_to,state_2_-5_28_0_9_0
state_1_-8_21_0_9_500,transit_to,state_1_-8_24_0_9_0
state_1_-4_30_0_9_0,transit_to,state_1_-4_28_0_9_0
state_4_-6_48_0_9_750,has_lat,lat_39
state_3_-8_8_0_9_0,has_long,long_-78
state_1_-3_26_0_9_900,transit_to,state_1_-4_24_0_9_1400
state_2_-4_31_0_9_0,has_lat,lat_23
state_3_-7_7_0_9_0,has_long,long_-68
state_2_-4_10_0_9_0,has_lat,lat_22
state_4_-6_17_0_9_275,has_long,long_-56
state_2_-2_25_0_9_500,transit_to,state_2_-2_24_0_9_0
state_2_-5_23_0_9_550,has_lat,lat_18
state_3_-4_49_0_9_0,transit_to,state_3_-4_55_0_9_300
state_3_-5_14_0_9_475,has_lat,lat_33
state_2_-8_5_0_9_150,has_long,long_-79
state_1_-3_31_0_9_1300,transit_to,state_1_-4_27_0_9_650
state_2_-8_19_0_9_0,has_lat,lat_22
state_3_-9_25_0_9_725,transit_to,state_3_-9_21_0_9_1450
state_2_-6_15_0_9_1050,has_lat,lat_22
state_4_-5_10_0_9_0,has_lat,lat_39
state_3_-5_17_0_9_425,transit_to,state_3_-5_6_0_9_0
state_2_-8_18_0_9_650,escalate_to,state_2_-8_20_0_9_1125
state_3_-8_10_0_9_1200,has_long,long_-79
state_2_-6_18_0_9_750,has_long,long_-62
state_1_-5_25_0_9_0,has_lat,lat_12
state_3_-4_27_0_9_1125,has_lat,lat_34
state_3_-9_17_0_9_175,has_long,long_-91
state_2_-9_28_0_9_0,transit_to,state_2_-9_20_0_9_0
state_1_-7_25_0_9_600,has_lat,lat_13
state_2_-6_25_0_9_800,transit_to,state_3_-6_21_0_9_850
state_2_-4_27_0_9_200,has_long,long_-37
state_2_-10_14_0_9_2375,has_lat,lat_20
state_4_-7_27_0_9_0,has_lat,lat_37
state_2_-9_7_0_9_650,transit_to,state_2_-10_8_0_9_325
state_1_-6_11_0_9_0,has_lat,lat_14
state_4_-5_6_0_9_1100,transit_to,state_4_-5_7_0_9_550
state_2_-8_10_0_9_200,has_long,long_-83
state_2_-7_17_0_9_400,transit_to,state_2_-7_17_0_9_0
state_3_-8_23_0_9_450,transit_to,state_3_-8_23_0_9_225
lat_30,in_lat_zone,lat_3
state_2_-5_25_0_9_700,escalate_to,state_2_-5_24_0_9_1200
state_2_-10_15_0_9_0,has_lat,lat_22
state_3_-7_21_0_9_600,has_long,long_-65
state_2_-9_6_0_9_1125,transit_to,state_2_-9_3_0_9_1700
state_3_-9_9_0_9_1050,has_long,long_-89
state_3_-3_6_0_9_0,has_lat,lat_31
state_3_-6_25_0_9_850,transit_to,state_3_-6_23_0_9_900
state_3_-7_7_0_9_425,transit_to,state_3_-7_6_0_9_0
state_2_-8_33_0_9_300,transit_to,state_2_-8_28_0_9_650
state_2_-5_29_0_9_400,has_long,long_-52
state_1_-5_29_0_9_0,has_lat,lat_10
state_3_-7_8_0_9_2275,escalate_to,state_3_-7_5_0_9_1300
state_2_-7_5_0_9_825,has_lat,lat_24
state_2_-9_21_0_9_175,has_long,long_-86
state_3_-9_20_0_9_350,has_long,long_-87
state_2_-6_20_0_9_0,transit_to,state_2_-6_19_0_9_0
state_2_-3_31_0_9_225,has_lat,lat_18
state_3_-6_15_0_9_950,transit_to,state_3_-6_17_0_9_950
state_3_-4_19_0_9_350,transit_to,state_3_-4_18_0_9_350
state_2_-9_15_0_9_650,transit_to,state_2_-9_19_0_9_1125
state_2_-3_29_0_9_400,transit_to,state_2_-3_31_0_9_450
state_2_-3_22_0_9_300,has_long,long_-32
state_2_-8_27_0_9_1000,has_lat,lat_23
state_3_-9_35_0_9_0,has_lat,lat_32
state_2_-7_20_0_9_1000,has_lat,lat_22
state_2_-10_12_0_9_1625,transit_to,state_2_-10_19_0_9_0
state_1_-6_33_0_9_150,transit_to,state_1_-6_32_0_9_350
